time,viseme,voice,exactTeacher,teacher_sil,teacher_PP,teacher_FF,teacher_TH,teacher_DD,teacher_kk,teacher_CH,teacher_SS,teacher_nn,teacher_RR,teacher_aa,teacher_E,teacher_I,teacher_O,teacher_U,The Wasbeer Prefab (2)/Body/vrc.v_aa,The Wasbeer Prefab (2)/Body/vrc.v_ch,The Wasbeer Prefab (2)/Body/vrc.v_dd,The Wasbeer Prefab (2)/Body/vrc.v_e,The Wasbeer Prefab (2)/Body/vrc.v_ff,The Wasbeer Prefab (2)/Body/vrc.v_ih,The Wasbeer Prefab (2)/Body/vrc.v_kk,The Wasbeer Prefab (2)/Body/vrc.v_nn,The Wasbeer Prefab (2)/Body/vrc.v_oh,The Wasbeer Prefab (2)/Body/vrc.v_ou,The Wasbeer Prefab (2)/Body/vrc.v_pp,The Wasbeer Prefab (2)/Body/vrc.v_rr,The Wasbeer Prefab (2)/Body/vrc.v_sil,The Wasbeer Prefab (2)/Body/vrc.v_ss,The Wasbeer Prefab (2)/Body/vrc.v_th,The Wasbeer Prefab/Body/vrc.v_aa,The Wasbeer Prefab/Body/vrc.v_ch,The Wasbeer Prefab/Body/vrc.v_dd,The Wasbeer Prefab/Body/vrc.v_e,The Wasbeer Prefab/Body/vrc.v_ff,The Wasbeer Prefab/Body/vrc.v_ih,The Wasbeer Prefab/Body/vrc.v_kk,The Wasbeer Prefab/Body/vrc.v_nn,The Wasbeer Prefab/Body/vrc.v_oh,The Wasbeer Prefab/Body/vrc.v_ou,The Wasbeer Prefab/Body/vrc.v_pp,The Wasbeer Prefab/Body/vrc.v_rr,The Wasbeer Prefab/Body/vrc.v_sil,The Wasbeer Prefab/Body/vrc.v_ss,The Wasbeer Prefab/Body/vrc.v_th,The Wasbeer Prefab (1)/Body/vrc.v_aa,The Wasbeer Prefab (1)/Body/vrc.v_ch,The Wasbeer Prefab (1)/Body/vrc.v_dd,The Wasbeer Prefab (1)/Body/vrc.v_e,The Wasbeer Prefab (1)/Body/vrc.v_ff,The Wasbeer Prefab (1)/Body/vrc.v_ih,The Wasbeer Prefab (1)/Body/vrc.v_kk,The Wasbeer Prefab (1)/Body/vrc.v_nn,The Wasbeer Prefab (1)/Body/vrc.v_oh,The Wasbeer Prefab (1)/Body/vrc.v_ou,The Wasbeer Prefab (1)/Body/vrc.v_pp,The Wasbeer Prefab (1)/Body/vrc.v_rr,The Wasbeer Prefab (1)/Body/vrc.v_sil,The Wasbeer Prefab (1)/Body/vrc.v_ss,The Wasbeer Prefab (1)/Body/vrc.v_th
1.74933,0,0.04822,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.77067,0,0.04210,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.79200,0,0.03585,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.81333,0,0.02828,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.83467,0,0.02235,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.85600,0,0.01763,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.87733,0,0.03409,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.89867,0,0.05846,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.92000,0,0.05652,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
1.94133,0,0.08236,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
