time,viseme,voice,teacher_sil,teacher_PP,teacher_FF,teacher_TH,teacher_DD,teacher_kk,teacher_CH,teacher_SS,teacher_nn,teacher_RR,teacher_aa,teacher_E,teacher_I,teacher_O,teacher_U,avr_sil,avr_PP,avr_FF,avr_TH,avr_DD,avr_kk,avr_CH,avr_SS,avr_nn,avr_RR,avr_aa,avr_E,avr_I,avr_O,avr_U
41.23733,13,0.70497,0.00071,0.01179,0.00012,0.00050,0.00176,0.18314,0.00142,0.00058,0.23377,0.00690,0.08568,0.00241,0.00600,0.39900,0.06623,0.01675,0.03995,0.03345,0.01570,0.04541,0.57451,0.00226,0.01112,0.05679,0.00893,0.06223,0.01699,0.03875,0.03917,0.03799
41.25867,13,0.65789,0.00051,0.00822,0.00020,0.00055,0.00245,0.12702,0.00177,0.09710,0.27135,0.00536,0.06714,0.00184,0.00493,0.34989,0.06168,0.02326,0.03517,0.02236,0.00865,0.03736,0.32401,0.00357,0.00589,0.06741,0.03898,0.07582,0.00901,0.03313,0.28528,0.03009
41.28000,13,0.54580,0.00038,0.00591,0.00069,0.01380,0.02859,0.10763,0.00229,0.06743,0.22908,0.00422,0.04727,0.00130,0.00361,0.24500,0.24279,0.02765,0.03195,0.01490,0.00390,0.03193,0.15528,0.00445,0.00238,0.07456,0.05921,0.08498,0.00363,0.02935,0.45106,0.02477
41.30133,4,0.45072,0.00036,0.00443,0.00122,0.04963,0.20997,0.10914,0.03052,0.04694,0.16796,0.00326,0.03386,0.00093,0.00281,0.16954,0.16945,0.02955,0.03056,0.01167,0.00184,0.02959,0.08232,0.00484,0.00085,0.07765,0.06796,0.08893,0.00131,0.02771,0.52274,0.02247
41.32267,4,0.36805,0.00078,0.00490,0.00138,0.04590,0.26895,0.23541,0.03014,0.03265,0.11685,0.00230,0.02391,0.00064,0.00199,0.11710,0.11709,0.02999,0.03024,0.01092,0.00137,0.02904,0.06531,0.00493,0.00050,0.07837,0.07000,0.08986,0.00076,0.02733,0.53946,0.02193
41.34400,5,0.30353,0.00744,0.00779,0.00343,0.09512,0.25832,0.31971,0.02152,0.02293,0.08100,0.00162,0.01717,0.00047,0.00141,0.08087,0.08120,0.03679,0.03258,0.01384,0.00762,0.14198,0.04962,0.00973,0.00567,0.06774,0.06215,0.08113,0.00209,0.03436,0.43263,0.02206
41.36533,5,0.29902,0.00791,0.02090,0.00452,0.16581,0.19132,0.26266,0.01488,0.01589,0.09793,0.00152,0.05799,0.00095,0.00205,0.06360,0.09208,0.04874,0.03739,0.02033,0.01990,0.35191,0.04490,0.01850,0.01575,0.04703,0.04470,0.06365,0.00532,0.04794,0.21088,0.02307
41.38667,5,0.29385,0.00952,0.10674,0.00823,0.13108,0.14276,0.28534,0.01036,0.01270,0.08359,0.00113,0.04417,0.00097,0.00213,0.04836,0.11293,0.03518,0.03919,0.02730,0.01944,0.23380,0.29328,0.01195,0.01482,0.04905,0.02573,0.06082,0.01121,0.04529,0.10274,0.03021
41.40800,5,0.28364,0.01092,0.09826,0.00997,0.09684,0.11389,0.34343,0.00730,0.00926,0.06137,0.00114,0.03795,0.00090,0.00158,0.07589,0.13129,0.02438,0.03973,0.03108,0.01742,0.12492,0.46109,0.00631,0.01278,0.05331,0.01540,0.06137,0.01472,0.04160,0.06100,0.03487
41.42933,5,0.26693,0.00923,0.14515,0.01244,0.06925,0.09689,0.27786,0.00521,0.00677,0.04880,0.00261,0.09021,0.00105,0.00145,0.10193,0.13115,0.01953,0.03989,0.03262,0.01636,0.07465,0.53373,0.00374,0.01174,0.05547,0.01121,0.06187,0.01619,0.03980,0.04633,0.03688
41.45066,5,0.25328,0.01591,0.19175,0.01066,0.05442,0.08630,0.22151,0.00405,0.00599,0.04516,0.00554,0.12305,0.00214,0.00193,0.12806,0.10352,0.01769,0.03994,0.03318,0.01593,0.05541,0.56076,0.00276,0.01133,0.05633,0.00969,0.06210,0.01672,0.03910,0.04145,0.03762
41.47200,1,0.45355,0.04225,0.28207,0.00964,0.04128,0.07963,0.17578,0.00331,0.00542,0.04330,0.00595,0.11110,0.00263,0.00247,0.11140,0.08376,0.01706,0.03995,0.03336,0.01578,0.04868,0.57006,0.00242,0.01119,0.05663,0.00918,0.06219,0.01691,0.03885,0.03988,0.03787
41.49333,14,0.58875,0.02919,0.19541,0.00670,0.02850,0.05499,0.12217,0.00228,0.00374,0.03650,0.00539,0.07728,0.00186,0.00196,0.16504,0.26899,0.01684,0.03995,0.03342,0.01573,0.04645,0.57312,0.00231,0.01114,0.05674,0.00901,0.06222,0.01697,0.03877,0.03938,0.03796
41.51467,14,0.62301,0.02032,0.13503,0.00464,0.01988,0.03848,0.08505,0.00158,0.00276,0.04770,0.04995,0.08053,0.00679,0.02556,0.23906,0.24268,0.00920,0.27942,0.03934,0.02798,0.03840,0.31590,0.00121,0.01568,0.06084,0.02540,0.06589,0.01619,0.02907,0.03829,0.03719
41.53600,8,0.66338,0.01403,0.09973,0.00339,0.01461,0.03360,0.06058,0.00120,0.00312,0.28538,0.03702,0.06214,0.00563,0.02119,0.18522,0.17316,0.00474,0.20653,0.02322,0.03668,0.02298,0.13735,0.01526,0.01127,0.06454,0.03683,0.06217,0.02263,0.03684,0.03157,0.28737
41.55733,8,0.66072,0.00971,0.07306,0.00238,0.01039,0.02445,0.20302,0.00083,0.00217,0.33772,0.02591,0.04307,0.00391,0.01469,0.12852,0.12017,0.00297,0.11847,0.01140,0.04054,0.01387,0.05893,0.02491,0.00757,0.06638,0.04187,0.05907,0.02710,0.04365,0.02721,0.45607
41.57867,8,0.64974,0.00675,0.05808,0.00257,0.01207,0.03350,0.28005,0.00077,0.00171,0.36863,0.01908,0.02977,0.00272,0.01203,0.08890,0.08337,0.01088,0.07470,0.01069,0.03264,0.01539,0.05249,0.01488,0.01461,0.29656,0.02837,0.07112,0.02687,0.04544,0.01874,0.28663
41.60000,8,0.62581,0.00485,0.04608,0.00453,0.01685,0.10248,0.29099,0.00174,0.00152,0.36291,0.01397,0.02060,0.00189,0.01128,0.06137,0.05894,0.01414,0.06387,0.01125,0.02923,0.01663,0.05519,0.01021,0.01768,0.38800,0.02266,0.07615,0.02646,0.04566,0.01567,0.20721
41.62133,5,0.60068,0.00387,0.07069,0.00715,0.02118,0.13405,0.32238,0.00262,0.00119,0.30432,0.01069,0.01436,0.00132,0.00949,0.04235,0.05434,0.01790,0.05334,0.01214,0.02526,0.01824,0.05977,0.00466,0.02127,0.49263,0.01603,0.08196,0.02590,0.04576,0.01225,0.11287
41.64267,8,0.58996,0.00382,0.14163,0.00794,0.01875,0.10264,0.25034,0.00267,0.00089,0.28346,0.01273,0.01019,0.00093,0.00942,0.02929,0.12532,0.01940,0.04971,0.01256,0.02367,0.01892,0.06201,0.00241,0.02271,0.53395,0.01338,0.08428,0.02565,0.04577,0.01093,0.07465
41.66400,1,0.58613,0.00293,0.34613,0.00602,0.01344,0.07143,0.17391,0.00187,0.00062,0.25119,0.00960,0.00758,0.00067,0.00736,0.02022,0.08705,0.01831,0.04476,0.02242,0.01976,0.03144,0.30300,0.00210,0.01742,0.31420,0.01101,0.07417,0.02156,0.04246,0.02405,0.05335
41.68533,1,0.58971,0.00455,0.35518,0.00581,0.01437,0.06718,0.13805,0.00193,0.00060,0.31829,0.00739,0.00579,0.00050,0.00553,0.01397,0.06087,0.01902,0.04560,0.01932,0.02066,0.02753,0.22500,0.00166,0.01948,0.39560,0.01116,0.07801,0.02283,0.04353,0.01946,0.05114
41.70667,1,0.57782,0.00393,0.43228,0.00439,0.01143,0.04809,0.09970,0.00137,0.00045,0.33011,0.00662,0.00403,0.00036,0.00405,0.00965,0.04355,0.01050,0.28266,0.03123,0.03080,0.02779,0.11520,0.00082,0.02051,0.25644,0.02662,0.07501,0.01955,0.03182,0.02687,0.04419
41.72800,1,0.57555,0.00562,0.43059,0.00339,0.00942,0.03846,0.07593,0.00106,0.00079,0.37932,0.00941,0.00285,0.00026,0.00325,0.00666,0.03297,0.00462,0.44214,0.03997,0.03741,0.02888,0.05911,0.00032,0.02074,0.14461,0.03696,0.07213,0.01705,0.02368,0.03289,0.03948
41.74933,1,0.57272,0.01200,0.40452,0.00281,0.01199,0.02880,0.05428,0.00085,0.00188,0.40410,0.00887,0.00220,0.00025,0.03434,0.00465,0.02847,0.00207,0.51106,0.04382,0.04024,0.02944,0.03680,0.00011,0.02080,0.09430,0.04143,0.07080,0.01593,0.02014,0.03561,0.03745
41.77067,12,0.57934,0.00914,0.28838,0.00199,0.00859,0.02023,0.03758,0.00063,0.00278,0.29430,0.00619,0.00157,0.00019,0.30505,0.00322,0.02014,0.00111,0.53668,0.04527,0.04129,0.02967,0.02883,0.00004,0.02081,0.07526,0.04309,0.07029,0.01551,0.01881,0.03664,0.03669
41.79200,12,0.59685,0.00656,0.20097,0.00151,0.00596,0.01409,0.02599,0.00054,0.00221,0.21237,0.00433,0.00115,0.00017,0.50428,0.00223,0.01766,0.00078,0.54551,0.04577,0.04165,0.02975,0.02615,0.00001,0.02081,0.06864,0.04366,0.07011,0.01537,0.01836,0.03700,0.03643
41.81333,12,0.61375,0.00492,0.15157,0.00215,0.00417,0.00983,0.01812,0.00053,0.00244,0.19029,0.00758,0.00144,0.00026,0.45558,0.00167,0.14945,0.00038,0.29235,0.03081,0.02820,0.03277,0.04671,0.02037,0.02478,0.06870,0.02578,0.05047,0.03018,0.29416,0.01965,0.03469
41.83467,12,0.62076,0.00379,0.15492,0.00395,0.00290,0.00684,0.01300,0.00042,0.00173,0.20540,0.00828,0.00124,0.00026,0.32727,0.00145,0.26856,0.00015,0.12075,0.02067,0.01909,0.03479,0.06087,0.03410,0.02745,0.06951,0.01367,0.03727,0.04017,0.48004,0.00792,0.03354
41.85600,14,0.58952,0.00367,0.10944,0.03165,0.00338,0.00558,0.00996,0.00074,0.00385,0.20813,0.00643,0.00150,0.00034,0.22998,0.00107,0.38429,0.00009,0.07501,0.01797,0.01666,0.03533,0.06466,0.03775,0.02816,0.06978,0.01045,0.03375,0.04283,0.52953,0.00480,0.03324
